model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",5.015203167963407,7.764542356786572,3.0266789728041803,4.25438817429947
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",4.1701956085831675,7.408788154622674,1.2491868772144064,3.852611793912421
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.982680312217522,7.768040170055342,3.012600332086722,4.167400434510502
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.121459941058972,7.370883815037569,1.3720089546387244,3.6214870535006214
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",5.119585387421715,7.7867065359936785,3.250631048495178,4.321418577776288
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",4.155485690265664,7.44298339677575,1.1959958203720245,3.8274778536492176
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",5.031555722031913,7.737021786280739,3.0855676672772723,4.27207771253773
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",4.177560944709212,7.4059888938243965,1.261864166969148,3.8648297733340917
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.978332368062912,7.768953831989225,3.000067620959221,4.165975651240289
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.121248413743349,7.370898749984623,1.3718902401393436,3.6209562511060827
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",5.193733117963119,7.984286594855866,3.2336390717459897,4.363273687287501
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4.13831886385187,7.450310902546349,1.2010298997241078,3.763615789285152
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",5.331362357762898,7.969455076128081,3.7588686358229473,4.265763361337667
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",4.168719926292122,7.416137086603165,1.1845099998535156,3.905512692419688
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",5.053179648066643,7.947691104270586,3.003417275884511,4.208430564044832
RandomForest,charging,case2_solar,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.143205527034342,7.370622376165602,1.3923957855346891,3.6665984194027375
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",5.285998190228314,8.0008288834446,3.5049577327175454,4.3522079545227985
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4.151287906481357,7.413537058604981,1.2509900118609973,3.789336648978091
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",5.113634786465524,7.945582610643932,3.1628672253917687,4.232454523360873
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",4.18067651288187,7.41856546457957,1.2198753759733003,3.903588698092743
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",5.049703088771463,7.947334665829212,2.986944368523368,4.214830231961809
RandomForest,charging,case2_solar,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.143479860328836,7.370622376165604,1.393194129389538,3.666623075431367
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",5.199040689833773,7.987462144062137,3.242276459294848,4.367383466144334
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4.139375747841966,7.45031090254635,1.2042005516943974,3.7636157892851525
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",5.330452323949278,7.96945507612808,3.756138534382089,4.265763361337667
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",4.168719926292123,7.416137086603165,1.18450999985352,3.905512692419685
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",5.053179648066643,7.9476911042705884,3.0034172758845137,4.2084305640448285
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.143205527034341,7.370622376165599,1.3923957855346865,3.6665984194027366
