rmse,mae,r2,mape_pct,max_abs_err,model,regime,case,fold_holdout_run,n_train,n_test,best_params
5.128154508492219,4.468048748935331,0.4020774649137553,10.858740437935886,8.729139098627591,Ridge,charging,case1_baseline,0,166,71,"{""alpha"": 0.001}"
1.4619642727322244,1.2852188930034527,0.5618599363080781,3.6775203748771896,2.433508232990654,Ridge,charging,case1_baseline,1,166,71,"{""alpha"": 0.001}"
1.6282459752594978,1.0934283215336016,0.9093756543836216,2.8793469888937766,3.718163738212894,Ridge,charging,case1_baseline,2,142,95,"{""alpha"": 0.001}"
5.128161517935055,4.468055148037394,0.4020758303660099,10.858755433516889,8.729149624054621,Ridge,charging,case2_solar,0,166,71,"{""alpha"": 0.001}"
1.461963203988897,1.285216193866389,0.5618605768970543,3.677511363553052,2.433512578054895,Ridge,charging,case2_solar,1,166,71,"{""alpha"": 0.001}"
1.6282464015255598,1.093428589290974,0.9093756069336802,2.8793476952565165,3.7181651541986582,Ridge,charging,case2_solar,2,142,95,"{""alpha"": 0.001}"
0.42278065063334663,0.30412823274126716,0.995936007256134,0.7319499981130123,1.561790804862639,Ridge,charging,case3_lags,0,166,71,"{""alpha"": 0.001}"
0.18876050837858863,0.16516469441743528,0.9926959838523767,0.49153023991716793,0.36689650682593467,Ridge,charging,case3_lags,1,166,71,"{""alpha"": 0.001}"
0.12444951347346465,0.1033361497256735,0.9994705910694072,0.30706611396516903,0.24750786714484008,Ridge,charging,case3_lags,2,142,95,"{""alpha"": 0.001}"
0.42278377298179926,0.3041276616260285,0.9959359472285604,0.7319477127243605,1.5618074975500917,Ridge,charging,case4_solar_and_lags,0,166,71,"{""alpha"": 0.001}"
0.18876034308055628,0.16516461195094387,0.9926959966446602,0.49152990136184527,0.3668958735745562,Ridge,charging,case4_solar_and_lags,1,166,71,"{""alpha"": 0.001}"
0.12444980148450624,0.10333637475696592,0.9994705886190032,0.3070667508406279,0.24750874888159302,Ridge,charging,case4_solar_and_lags,2,142,95,"{""alpha"": 0.001}"
2.1019549040678944,1.8868408219519333,0.9129460062875911,4.785090740141898,3.8672146307899027,Ridge,discharging,case1_baseline,0,227,82,"{""alpha"": 10.0}"
2.0479311335222974,1.8811206946783112,0.8867487512140417,6.254223158588243,3.9501844302688127,Ridge,discharging,case1_baseline,1,178,131,"{""alpha"": 10.0}"
2.462304471575295,2.3667544502325604,0.07874031910039636,7.246609756903837,3.432304050591462,Ridge,discharging,case1_baseline,2,213,96,"{""alpha"": 10.0}"
2.1485991358183383,1.9293286436052175,0.9090395281553451,4.8676811695140945,3.747673874078906,Ridge,discharging,case2_solar,0,227,82,"{""alpha"": 10.0}"
2.0783745823618376,1.8854860259210768,0.8833566597426318,6.290722774560003,4.087252776593253,Ridge,discharging,case2_solar,1,178,131,"{""alpha"": 10.0}"
2.483637866352488,2.3886181937667117,0.06270758551433142,7.301041688507954,4.1888040895262435,Ridge,discharging,case2_solar,2,213,96,"{""alpha"": 10.0}"
1.7595829259539473,1.4011181343115742,0.9389955677796722,3.217591241255698,3.212706479086819,Ridge,discharging,case3_lags,0,227,82,"{""alpha"": 100.0}"
1.2275241693266359,0.8198063700272049,0.9593114318951366,2.6703103236579024,8.99966023974936,Ridge,discharging,case3_lags,1,178,131,"{""alpha"": 100.0}"
1.864219517896195,1.7265373134321997,0.471928586311384,5.257195811524943,2.802629275997461,Ridge,discharging,case3_lags,2,213,96,"{""alpha"": 100.0}"
1.4579898160335234,1.3472479301133533,0.9581157356419497,3.4687607337070214,2.4309432295756466,Ridge,discharging,case4_solar_and_lags,0,227,82,"{""alpha"": 10.0}"
1.4785046359511436,1.1232184028739256,0.9409720522710251,3.661682552926985,9.671852689359767,Ridge,discharging,case4_solar_and_lags,1,178,131,"{""alpha"": 10.0}"
1.873191276806027,1.775456857199508,0.4668335534744422,5.412394404165187,3.750248659099107,Ridge,discharging,case4_solar_and_lags,2,213,96,"{""alpha"": 10.0}"
