model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.409356182211167,7.264015195075507,2.2707742297945606,3.693279121763432
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.410675200949897,7.375889782210595,2.2607135053217373,3.5954223153173612
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.361157185758432,7.226584033204748,1.7510037968055319,4.105883727265017
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.412536928157819,7.242782107441743,2.126923832762555,3.8679048442691584
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.306608086723116,7.218313059297037,2.0437893598719854,3.657721841000323
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.36735486803991,7.390212315351223,2.1083200467283105,3.6035322420401963
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.6246347086153134,7.169271669145358,2.275698370005971,4.428934086694612
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.372584381303788,7.249770237490049,1.9233618331427194,3.944621073278597
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.391547173286073,7.274648851837851,2.229387318946219,3.6706053490741475
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.439949041696136,7.407082132181484,2.2945249225378923,3.61824007036903
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.6171057137682245,7.16994938214195,2.2573776069794915,4.423990152183232
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.36895117412029,7.240736145426409,1.924873737180472,3.941243639753988
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.391327475969224,7.2739897598873045,2.229387318946219,3.6706053490741475
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.441331451858709,7.409446494727869,2.296307790479227,3.61824007036903
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.316197669197209,7.170625755374776,1.735168751294196,4.042798500922654
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.46729923186721,7.231117738148556,2.3300613169978828,3.8407186404551905
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.371413951100272,7.24682522785239,2.212645437905557,3.654771187542869
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.446310056061979,7.431035277616973,2.292841587721371,3.615053302847592
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.551481995409251,7.215226829117167,2.0936101710547885,4.345608986055798
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.310800461833058,7.242898263898846,1.8494328609529025,3.840070260647428
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.429813535863613,7.279223993948871,2.334302229778661,3.675914383863309
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.434025208068732,7.390972293454531,2.334176590439348,3.5769267403123157
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.545582209040881,7.210826152115989,2.0843284901726458,4.341591984834009
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.304804879558368,7.248186490263196,1.835179183941144,3.831048964470765
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.433248120408479,7.287423775675922,2.3364062016862044,3.675914383863309
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 800, ""min_samples_leaf"": 15}",4.432581159680919,7.386640148291094,2.334176590439348,3.5769267403123157
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.392095816223141,7.2653800143938625,1.7557542454958355,4.155153188779727
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.4353992877663275,7.269943501693646,2.1122576678406304,3.9239966937647073
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.263499179117253,7.236952319684476,1.8207553846666353,3.732789833000647
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.323952312045354,7.418888331076649,1.8898054476451376,3.663163157414277
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.659488958229606,7.232087756682542,2.27006006474874,4.476319053257537
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.401236996406563,7.280221815118247,1.9335263988957556,3.9899627752056874
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.342172954562803,7.306665576739814,1.9743540101715094,3.745499276777086
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.3794043405189,7.44276040266274,2.0228309077195745,3.6726217111743864
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.660124201591146,7.23328115375938,2.277229600741751,4.469861850272307
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.397100623927289,7.276304954578149,1.9286577895517265,3.986339127651991
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.342115471023993,7.306493126123383,1.9743540101715094,3.745499276777086
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.378557140707979,7.4402188032299765,2.0228309077195745,3.6726217111743864
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.348298624173091,7.217929562793646,1.7475793876532726,4.079386922072355
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.492385719876609,7.269159268218007,2.342934036675734,3.865063854736085
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.342210564215007,7.24421697303813,2.1173809350754778,3.6650337845314134
